antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({'other vegetables'}),frozenset({'beef'}),0.3766033863519754,0.11954848640328374,0.05079527963057978,0.13487738419618528,1.1282232695208803,0.005772914817850042,1.0177187574488027,0.18230868354325133
frozenset({'beef'}),frozenset({'other vegetables'}),0.11954848640328374,0.3766033863519754,0.05079527963057978,0.4248927038626609,1.1282232695208803,0.005772914817850042,1.0839657535820129,0.12908219726401537
frozenset({'whole milk'}),frozenset({'beef'}),0.4581836839404823,0.11954848640328374,0.06413545407901487,0.13997760358342665,1.1708856196742425,0.009360288169249671,1.023754168804515,0.26936363636363614
frozenset({'beef'}),frozenset({'whole milk'}),0.11954848640328374,0.4581836839404823,0.06413545407901487,0.5364806866952789,1.1708856196742425,0.009360288169249671,1.1689185337209964,0.16576223776223764
frozenset({'other vegetables'}),frozenset({'bottled beer'}),0.3766033863519754,0.15879938429964083,0.06849666495638788,0.18188010899182558,1.145345177463871,0.00869227907853444,1.0282119099484823,0.20356344692591055
frozenset({'bottled beer'}),frozenset({'other vegetables'}),0.15879938429964083,0.3766033863519754,0.06849666495638788,0.43134087237479807,1.1453451774638712,0.00869227907853444,1.096257113204907,0.150856717300995
frozenset({'rolls/buns'}),frozenset({'bottled beer'}),0.3496664956387891,0.15879938429964083,0.06310928681375064,0.18048422597212033,1.136554948044144,0.0075824625960978845,1.02646055434162,0.18474848062090105
frozenset({'bottled beer'}),frozenset({'rolls/buns'}),0.15879938429964083,0.3496664956387891,0.06310928681375064,0.3974151857835218,1.136554948044144,0.0075824625960978845,1.0792397833769154,0.14282933771698203
frozenset({'soda'}),frozenset({'bottled beer'}),0.3134940995382247,0.15879938429964083,0.05515649050795279,0.17594108019639934,1.1079456067941271,0.0053738205197123926,1.020801541594676,0.1419195606076408
frozenset({'bottled beer'}),frozenset({'soda'}),0.15879938429964083,0.3134940995382247,0.05515649050795279,0.3473344103392569,1.1079456067941271,0.0053738205197123926,1.0518493870936605,0.11582090399086513
frozenset({'whole milk'}),frozenset({'bottled beer'}),0.4581836839404823,0.15879938429964083,0.08542842483324782,0.1864501679731243,1.174123997995539,0.012669137927357993,1.033987818059767,0.27371121121121117
frozenset({'bottled beer'}),frozenset({'whole milk'}),0.15879938429964083,0.4581836839404823,0.08542842483324782,0.5379644588045235,1.174123997995539,0.012669137927357993,1.1726723763665787,0.1762970655925825
frozenset({'other vegetables'}),frozenset({'bottled water'}),0.3766033863519754,0.21369933299127758,0.09389430477167779,0.24931880108991827,1.1666802960966403,0.013414412306004236,1.0474495273764108,0.22917538060221723
